"ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genus.join","primary","secondary"
"ASV_191","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA,NA,NA,NA
"ASV_192","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Dissoconiaceae","g__Ramichloridium","s__apiculatum","Ramichloridium","plant_pathogen","litter_saprotroph"
"ASV_193","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Occultifur",NA,"Occultifur","mycoparasite","litter_saprotroph"
"ASV_194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_195","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeria",NA,"Leptosphaeria","plant_pathogen","wood_saprotroph"
"ASV_198","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Myxozyma","s__melibiosi","Myxozyma","nectar/tap_saprotroph",""
"ASV_199","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA,"Neocucurbitaria","unspecified_saprotroph",""
"ASV_200","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_201","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Stachylidium",NA,"Stachylidium","animal_parasite","animal_decomposer"
"ASV_202","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_203","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_205","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Biatriosporaceae",NA,NA,NA,NA,NA
"ASV_206",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_207","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Glomerellales","f__Plectosphaerellaceae","g__Plectosphaerella",NA,"Plectosphaerella","plant_pathogen","litter_saprotroph"
"ASV_208","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Neonectria","s__ditissima","Neonectria","plant_pathogen",""
"ASV_209","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_210","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,NA,NA,NA
"ASV_211","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Pseudocosmospora",NA,"Pseudocosmospora","mycoparasite","fungal_decomposer"
"ASV_212","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","Acericola","wood_saprotroph",""
"ASV_213","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora",NA,"Cyphellophora","litter_saprotroph","animal_parasite"
"ASV_214","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Neohendersonia","s__kickxii","Neohendersonia","wood_saprotroph",""
"ASV_215","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Phaeomoniella",NA,"Phaeomoniella","plant_pathogen",""
"ASV_216","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_217","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cadophora","s__melinii","Cadophora","litter_saprotroph","plant_pathogen"
"ASV_218","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae",NA,NA,NA,NA,NA
"ASV_220","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae",NA,NA,NA,NA,NA
"ASV_221","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA,NA,NA,NA
"ASV_222","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Hyalorbilia","s__erythrostigma","Hyalorbilia","wood_saprotroph","animal_parasite"
"ASV_223","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","Acericola","wood_saprotroph",""
"ASV_224","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__chaetospira","Cladophialophora","soil_saprotroph","root_endophyte_dark_septate"
"ASV_225","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Candelariales","f__Candelariaceae","g__Candelariella",NA,"Candelariella","lichenized",""
"ASV_226","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae","g__Coniothyrium",NA,"Coniothyrium","plant_pathogen","litter_saprotroph"
"ASV_228","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Chaetosphaeriales","f__Chaetosphaeriales_fam_Incertae_sedis","g__Dendrophoma","s__cytisporoides","Dendrophoma","plant_pathogen",""
"ASV_229","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_231","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae",NA,NA,NA,NA,NA
"ASV_233","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_234","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__surugaensis","Hannaella","animal_parasite","animal_decomposer"
"ASV_235","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium",NA,"Sarocladium","plant_pathogen","litter_saprotroph"
"ASV_236","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae",NA,NA,NA,NA,NA
"ASV_237","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_240","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrypella","s__pulvinata","Diatrypella","plant_pathogen",""
"ASV_241","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Lecania","s__cyrtellina","Lecania","lichenized",""
"ASV_242","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,NA,NA,NA
"ASV_243","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA,NA,NA,NA
"ASV_246","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae",NA,NA,NA,NA,NA
"ASV_247","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__sessilis","Cyphellophora","litter_saprotroph","animal_parasite"
"ASV_249","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Phaeophyscia",NA,"Phaeophyscia","lichenized",""
"ASV_250","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae",NA,NA,NA,NA,NA
"ASV_251","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Lecanoraceae",NA,NA,NA,NA,NA
"ASV_252","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Nigrograna",NA,"Nigrograna","animal_parasite","animal_decomposer"
"ASV_253","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora",NA,"Cyphellophora","litter_saprotroph","animal_parasite"
"ASV_254","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA,NA,NA,NA
"ASV_255","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Leptodontidium","s__trabinellum","Leptodontidium","litter_saprotroph","ericoid_mycorrhizal"
"ASV_256","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_258","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA,NA,NA,NA
"ASV_259","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_260","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Biatora",NA,"Biatora","lichenized",""
"ASV_261","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_262","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae",NA,NA,NA,NA,NA
"ASV_263","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia","s__abutilonis","Orbilia","wood_saprotroph","animal_parasite"
"ASV_265","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Capronia","s__pilosella","Capronia","soil_saprotroph","root_endophyte_dark_septate"
"ASV_266","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pleurotheciales","f__Pleurotheciaceae","g__Pleurotheciella",NA,"Pleurotheciella","wood_saprotroph",""
"ASV_267","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Ambrosiozyma","s__oregonensis","Ambrosiozyma","wood_saprotroph","nectar/tap_saprotroph"
"ASV_269","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae","Vishniacozyma","soil_saprotroph",""
"ASV_270","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA,NA,NA,NA
"ASV_271","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae",NA,NA,NA,NA,NA
"ASV_272","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_273","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_274","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Pragmopora",NA,"Pragmopora","wood_saprotroph",""
"ASV_275","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola","Cytospora","plant_pathogen","litter_saprotroph"
"ASV_276","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma",NA,"Lophiostoma","wood_saprotroph","litter_saprotroph"
"ASV_277","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora",NA,"Cyphellophora","litter_saprotroph","animal_parasite"
"ASV_278","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Eutypella","s__quaternata","Eutypella","plant_pathogen",""
"ASV_279","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,NA,NA,NA
"ASV_280","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA,NA,NA,NA
"ASV_283","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Bionectriaceae",NA,NA,NA,NA,NA
"ASV_285","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Hyalorbilia","s__erythrostigma","Hyalorbilia","wood_saprotroph","animal_parasite"
"ASV_286","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","s__rubra","Microcera","animal_parasite","animal_decomposer"
"ASV_287","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus","Plenodomus","plant_pathogen","litter_saprotroph"
"ASV_288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_289","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae",NA,NA,NA,NA,NA
"ASV_292","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Psoroglaena",NA,"Psoroglaena","lichenized",""
"ASV_294","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Calonectria",NA,"Calonectria","plant_pathogen",""
"ASV_295","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","Acericola","wood_saprotroph",""
"ASV_296","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA,NA,NA,NA
"ASV_298","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae",NA,NA,NA,NA,NA
"ASV_299","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiaceae",NA,NA,NA,NA,NA
"ASV_300","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_301","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium",NA,"Phaeoacremonium","plant_pathogen",""
"ASV_302","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_303","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_304","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_306","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_307","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA,NA,NA,NA
"ASV_308","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Biatora","s__longispora","Biatora","lichenized",""
"ASV_309","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_311","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Lepteutypa","s__fuckelii","Lepteutypa","plant_pathogen",""
"ASV_312","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Sarocladium",NA,"Sarocladium","plant_pathogen","litter_saprotroph"
"ASV_313","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriaceae",NA,NA,NA,NA,NA
"ASV_314","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae",NA,NA,NA,NA,NA
"ASV_317","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Calosphaeriales","f__Calosphaeriaceae","g__Jattaea","s__tumidula","Jattaea","unspecified_saprotroph",""
"ASV_318","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae",NA,NA,NA,NA,NA
"ASV_319","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae",NA,NA,NA,NA,NA
"ASV_320","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala",NA,"Exophiala","animal_parasite","litter_saprotroph"
"ASV_322","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,NA,NA,NA
"ASV_323","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Hirsutella","s__thompsonii","Hirsutella","animal_parasite","animal_decomposer"
"ASV_324","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Lecanoraceae","g__Scoliciosporum","s__chlorococcum","Scoliciosporum","lichenized",""
"ASV_325","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","Acericola","wood_saprotroph",""
"ASV_327","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Calonectria",NA,"Calonectria","plant_pathogen",""
"ASV_332","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA,NA,NA,NA
"ASV_333","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,NA,NA,NA
"ASV_335","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_336","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_337","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__mycetangii","Candida","nectar/tap_saprotroph",""
"ASV_339","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Lecanoraceae","g__Scoliciosporum","s__chlorococcum","Scoliciosporum","lichenized",""
"ASV_340","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Hymenochaetopsis","s__corrugata","Hymenochaetopsis","wood_saprotroph",""
"ASV_341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_343","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__castellanii","Exophiala","animal_parasite","litter_saprotroph"
"ASV_344","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella","s__indecorata","Tremella","mycoparasite",""
"ASV_345","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_346","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Hymenochaetopsis","s__corrugata","Hymenochaetopsis","wood_saprotroph",""
"ASV_347","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","s__hungaricum","Phaeoacremonium","plant_pathogen",""
"ASV_348","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_351","k__Fungi","p__Ascomycota","c__Orbiliomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_352","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Occultibambusaceae","g__Brunneofusispora","s__sinensis","Brunneofusispora","wood_saprotroph",""
"ASV_353","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_355","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_358","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales",NA,NA,NA,NA,NA,NA
"ASV_359","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_363","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Epicoccum","s__nigrum","Epicoccum","plant_pathogen","litter_saprotroph"
"ASV_365","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_366","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_368","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Gibberella","s__tricincta","Gibberella","plant_pathogen","litter_saprotroph"
"ASV_369","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,NA,NA,NA
"ASV_371","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_372","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_373","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Proliferodiscus","s__earoleucus","Proliferodiscus","wood_saprotroph",""
"ASV_374","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_376","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_377","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,"Cladosporium","litter_saprotroph","plant_pathogen"
"ASV_378","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae",NA,NA,NA,NA,NA
"ASV_379","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena","s__tenebrio","Arthrocatena","soil_saprotroph","rock-inhabiting"
"ASV_381","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_382","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae",NA,NA,NA,NA,NA
"ASV_383","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena","s__tenebrio","Arthrocatena","soil_saprotroph","rock-inhabiting"
"ASV_385","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae","g__Roussoella",NA,"Roussoella","wood_saprotroph",""
"ASV_386","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Teloschistales","f__Teloschistaceae","g__Caloplaca","s__ahtii","Caloplaca","lichenized",""
"ASV_388","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__carnescens","Vishniacozyma","soil_saprotroph",""
"ASV_389","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena",NA,"Arthrocatena","soil_saprotroph","rock-inhabiting"
"ASV_390","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_396","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia",NA,"Orbilia","wood_saprotroph","animal_parasite"
"ASV_397","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola","Cytospora","plant_pathogen","litter_saprotroph"
"ASV_398","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Anthopsis","s__deltoidea","Anthopsis","soil_saprotroph","animal_parasite"
"ASV_400","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Hyaloriaceae","g__Stypella","s__variabilis","Stypella","wood_saprotroph",""
"ASV_401","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae",NA,NA,NA,NA,NA
"ASV_403","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,NA,NA,NA
"ASV_404","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,NA,NA,NA
"ASV_405","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae",NA,NA,NA,NA,NA
"ASV_406","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Pleurotheciales","f__Pleurotheciaceae",NA,NA,NA,NA,NA
"ASV_407","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_409","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","s__inflatipes","Phaeoacremonium","plant_pathogen",""
"ASV_410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_411","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,NA,NA,NA
"ASV_414","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Thyridariaceae",NA,NA,NA,NA,NA
"ASV_417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_418","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Candelariales","f__Candelariaceae","g__Candelariella",NA,"Candelariella","lichenized",""
"ASV_421","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cadophora","s__melinii","Cadophora","litter_saprotroph","plant_pathogen"
"ASV_422","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Caliciaceae","g__Buellia","s__triseptata","Buellia","lichenized",""
"ASV_423","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,NA,NA,NA
"ASV_424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_426","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae",NA,NA,NA,NA,NA
"ASV_427","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Capronia",NA,"Capronia","soil_saprotroph","root_endophyte_dark_septate"
"ASV_429","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella",NA,"Rhinocladiella","soil_saprotroph","animal_parasite"
"ASV_430","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Orbilia","s__abutilonis","Orbilia","wood_saprotroph","animal_parasite"
"ASV_431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ASV_432","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Nigrograna",NA,"Nigrograna","animal_parasite","animal_decomposer"
"ASV_434","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Brachyphoris",NA,"Brachyphoris","animal_parasite","wood_saprotroph"
